LocationZip,Latitude,Longitude,geopoint
,,,
55795,46.317812,-92.84315,46.317812
,,,
45388,40.328535,-84.47938,40.328535
,,,
39483,31.218509,-89.90761,31.218509
,,,
31503,31.205194,-82.37534,31.205194
,,,
45833,40.841409,-84.34178,40.841409
,,,
34611,28.564167,-82.416515,28.564167
,,,
95717,39.177026,-120.8451,39.177026
,,,
98849,48.528793,-119.45276,48.528793
,,,
36201,33.658803,-85.85178,33.658803
,,,
80126,39.544549,-104.96808,39.544549
,,,
48907,42.596071,-84.838206,42.596071
,,,
85228,32.967829,-111.52617,32.967829
,,,
13758,42.583518,-75.721931,42.583518
,,,
76061,32.502674,-97.16347,32.502674
,,,
5448,44.751801,-72.88247,44.751801
,,,
94564,37.997509,-122.29208,37.997509
,,,
7452,40.961109,-74.12576,40.961109
,,,
89409,38.872139,-117.78194,38.872139
,,,
25044,37.90907,-81.35066,37.90907
,,,
78789,30.326374,-97.771258,30.326374
,,,
20134,39.152187,-77.702576,39.152187
,,,
23071,37.533471,-76.4609,37.533471
,,,
56570,46.895156,-95.36174,46.895156
,,,
57055,43.668009,-96.73032,43.668009
,,,
11757,40.690049,-73.37442,40.690049
,,,
66758,38.005429,-95.56976,38.005429
,,,
59318,47.426998,-107.44215,47.426998
,,,
68784,42.242742,-96.87191,42.242742
,,,
61475,40.581413,-90.7612,40.581413
,,,
59911,47.952716,-113.96215,47.952716
,,,
32886,28.566338,-81.260818,28.566338
,,,
55092,45.329115,-93.06834,45.329115
,,,
35565,34.225425,-87.6118,34.225425
,,,
64843,36.734769,-94.42691,36.734769
,,,
65692,36.602467,-91.64615,36.602467
,,,
42759,36.824961,-85.50481,36.824961
,,,
76102,32.75388,-97.32987,32.75388
,,,
46741,41.202549,-84.93811,41.202549
,,,
71340,31.765818,-91.82382,31.765818
,,,
49505,43.000076,-85.64785,43.000076
,,,
28800,35.564734,-82.597992,35.564734
,,,
22159,38.831813,-77.288755,38.831813
,,,
72116,34.799541,-92.24764,34.799541
,,,
25003,38.254483,-81.79045,38.254483
,,,
72660,36.492129,-93.3744,36.492129
,,,
91605,34.208142,-118.4011,34.208142
,,,
91102,33.786594,-118.298662,33.786594
,,,
83537,46.635799,-116.54146,46.635799
,,,
83861,47.274904,-116.57392,47.274904
,,,
99523,61.108864,-149.440311,61.108864
,,,
87527,36.1566,-105.84161,36.1566
,,,
6807,41.047627,-73.59508,41.047627
,,,
